rank,query_id
1,753
2,895
3,785
4,808
5,562
6,906
7,84
8,683
9,829
10,586
11,751
12,23
13,136
14,686
15,592
16,367
17,750
18,941
19,812
20,627
21,220
22,620
23,211
24,124
25,782
26,230
27,960
28,102
29,847
30,815
31,743
32,449
33,421
34,361
35,351
36,347
37,291
38,913
39,875
40,583
41,56
42,10
43,156
44,83
45,987
46,566
47,996
48,917
49,681
50,236
51,859
52,677
53,604
54,498
55,364
56,294
57,233
58,825
59,573
60,539
61,383
62,339
63,298
64,210
65,897
66,475
67,127
68,976
69,945
70,962
71,784
72,132
73,117
74,814
75,800
76,469
77,359
78,346
79,160
80,115
81,893
82,431
83,379
84,112
85,72
86,52
87,843
88,129
89,699
90,548
91,499
92,327
93,148
94,337
95,27
96,729
97,513
98,309
99,283
100,157
