rank,query_id
1,205
2,395
3,683
4,454
5,699
6,686
7,776
8,361
9,803
10,562
11,895
12,618
13,586
14,567
15,165
16,155
17,896
18,553
19,364
20,862
21,347
22,341
23,262
24,867
25,630
26,508
27,793
28,659
29,284
30,971
31,820
32,275
33,166
34,159
35,102
36,601
37,500
38,472
39,439
40,399
41,53
42,984
43,979
44,968
45,948
46,893
47,884
48,872
49,869
50,868
51,858
52,812
53,807
54,778
55,773
56,753
57,729
58,712
59,707
60,694
61,693
62,682
63,677
64,662
65,661
66,648
67,639
68,620
69,591
70,572
71,569
72,565
73,544
74,530
75,523
76,507
77,442
78,408
79,397
80,378
81,374
82,371
83,336
84,325
85,310
86,306
87,280
88,277
89,270
90,239
91,238
92,232
93,230
94,216
95,208
96,203
97,180
98,154
99,144
100,108
